,form_type,-1,1,file_number,prediction
32,424B2,0.4892767717821243,0.5107232282178756,27557,1
45,8-K,0.4953961495068603,0.5046038504931397,27477,1
122,SC 13G/A,0.4563914316249245,0.5436085683750755,21521,1
83,FWP,0.5428706774040739,0.4571293225959261,6333,-1
26,3,0.5083029566626165,0.49169704333738357,4938,-1
121,SC 13G,0.46314606741573033,0.5368539325842696,4450,1
39,425,0.5262800949474398,0.4737199050525602,2949,-1
64,DEFA14A,0.48784783374427615,0.5121521662557238,2839,1
29,4/A,0.49271958666040394,0.5072804133395961,2129,1
62,DEF 14A,0.4807881773399015,0.5192118226600986,2030,1
137,UPLOAD,0.5123583934088568,0.48764160659114314,1942,-1
9,11-K,0.47974537037037035,0.5202546296296297,1728,1
40,5,0.5241077019411396,0.47589229805886035,1597,-1
58,CORRESP,0.5202086049543677,0.47979139504563234,1534,-1
36,424B5,0.5099009900990099,0.4900990099009901,1414,-1
133,SD,0.4594594594594595,0.5405405405405406,851,1
115,S-8,0.4951923076923077,0.5048076923076923,832,1
118,SC 13D/A,0.5247657295850067,0.47523427041499333,747,-1
108,S-3ASR,0.5207667731629393,0.4792332268370607,626,-1
46,8-K/A,0.5351882160392799,0.46481178396072015,611,-1
34,424B3,0.48299319727891155,0.5170068027210885,588,1
86,NO ACT,0.47810858143607704,0.521891418563923,571,1
100,PX14A6G,0.49414519906323184,0.5058548009367682,427,1
116,S-8 POS,0.39294117647058824,0.6070588235294118,425,1
71,DFAN14A,0.5308056872037915,0.46919431279620855,422,-1
59,CT ORDER,0.4680306905370844,0.5319693094629157,391,1
12,13F-HR,0.45799457994579945,0.5420054200542005,369,1
131,SC TO-T/A,0.5377049180327869,0.46229508196721314,305,-1
27,3/A,0.48355263157894735,0.5164473684210527,304,1
52,ARS,0.5331010452961672,0.46689895470383275,287,-1
85,IRANNOTICE,0.5521235521235521,0.44787644787644787,259,-1
93,PRE 14A,0.53125,0.46875,256,-1
16,144,0.5421686746987951,0.4578313253012048,249,-1
123,SC 13G/ACONFIRMING COPY:,0.47560975609756095,0.524390243902439,246,1
43,8-A12B,0.508695652173913,0.49130434782608695,230,-1
76,EFFECT,0.5746606334841629,0.4253393665158371,221,-1
38,424B8,0.5052631578947369,0.49473684210526314,190,-1
113,S-4/A,0.5212765957446809,0.4787234042553192,188,-1
111,S-4,0.5375722543352601,0.4624277456647399,173,-1
117,SC 13D,0.47337278106508873,0.5266272189349113,169,1
37,424B7,0.582089552238806,0.417910447761194,134,-1
57,CERTNYS,0.5087719298245614,0.49122807017543857,114,-1
24,25-NSE,0.5045045045045045,0.4954954954954955,111,-1
127,SC TO-C,0.44545454545454544,0.5545454545454546,110,1
42,6-K,0.52,0.48,100,-1
4,10-K/A,0.5714285714285714,0.42857142857142855,98,-1
